origin_city,dest_city,total_trips,unique_drivers,total_cost,avg_cost,min_cost,max_cost
Абакан,Красноярск,26,3,441400.0,16976.923076923078,15000.0,30000.0
Астрахань,Москва,1,1,25000.0,25000.0,25000.0,25000.0
Астрахань,Тольятти,4,3,108500.0,27125.0,17500.0,53000.0
Астрахань,Тюмень,3,2,153000.0,51000.0,50000.0,53000.0
Астрахань,Челябинск,3,2,105000.0,35000.0,35000.0,35000.0
Ачинск,Ачинск,1,1,7000.0,7000.0,7000.0,7000.0
Ачинск,Нижний Новгород,1,1,43000.0,43000.0,43000.0,43000.0
Барнаул,Барнаул,1,1,4000.0,4000.0,4000.0,4000.0
Барнаул,Красноярск,1,1,12000.0,12000.0,12000.0,12000.0
Барнаул,Новосибирск,2,2,17000.0,8500.0,7000.0,10000.0
Боготол,Красноярск,1,1,5000.0,5000.0,5000.0,5000.0
Владивосток,Владивосток,6,2,33000.0,5500,5000.0,7000.0
Владивосток,Екатеринбург,4,3,632500.0,158125.0,145000.0,176500.0
Владивосток,Иркутск,1,1,80000.0,80000.0,80000.0,80000.0
Владивосток,Казань,4,3,637678.0,159419.5,156250.0,161428.0
Владивосток,Краснодар,10,3,1840000.0,184000.0,35000.0,205000.0
Владивосток,Магадан,1,1,148400.0,148400.0,148400.0,148400.0
Владивосток,Москва,67,17,11200862.0,167177.0447761194,140000.0,220000.0
Владивосток,Набережные Челны,1,1,180000.0,180000.0,180000.0,180000.0
Владивосток,Нижний Новгород,1,1,156250.0,156250.0,156250.0,156250.0
Владивосток,Новосибирск,3,3,355000.0,118333.33333333333,115000.0,120000.0
Владивосток,Омск,1,1,151400.0,151400.0,151400.0,151400.0
Владивосток,Ростов-На-Дону,1,1,215000.0,215000.0,215000.0,215000.0
Владивосток,Ростов-на-Дону,1,1,180000.0,180000.0,180000.0,180000.0
Владивосток,Санкт-Петербург,2,1,385650.0,192825.0,171250.0,214400.0
Владивосток,Тольятти,7,6,1135000.0,162142.85714285713,135000.0,180000.0
Владивосток,Тюмень,13,5,1794750.0,138057.6923076923,16000.0,170000.0
Владивосток,Уфа,3,2,483878.0,161292.66666666666,150000.0,177628.0
Владивосток,Челябинск,2,1,325000.0,162500.0,160000.0,165000.0
Владикавказ,Владикавказ,5,4,33500.0,6700.0,5000.0,8000.0
Владикавказ,Елец,1,1,25000.0,25000.0,25000.0,25000.0
Владикавказ,Москва,17,5,652150.0,38361.76470588235,23500.0,130000.0
Владикавказ,Ростов-на-Дону,2,2,55000.0,27500.0,25000.0,30000.0
Владикавказ,Санкт-Петербург,5,2,175000.0,35000.0,30000.0,40000.0
Владикавказ,Саратов,4,3,93100.0,23275.0,20000.0,25000.0
Владикавказ,Тольятти,6,4,131000.0,21833.333333333332,15000.0,25000.0
Владимир,Иркутск,1,1,60000.0,60000.0,60000.0,60000.0
Волгоград,Москва,1,1,90000.0,90000.0,90000.0,90000.0
Волгоград,Тольятти,1,1,15000.0,15000.0,15000.0,15000.0
Воронеж,Москва,2,2,21000.0,10500.0,10000.0,11000.0
Геленджик,Краснодар,1,1,18000.0,18000.0,18000.0,18000.0
Екатеринбург,Екатеринбург,7,4,53000.0,7571.428571428572,3000.0,19000.0
Екатеринбург,Краснодар,1,1,70000.0,70000.0,70000.0,70000.0
Екатеринбург,Красноярск,7,7,206981.0,29568.714285714286,21000.0,36000.0
Екатеринбург,Махачкала,1,1,55000.0,55000.0,55000.0,55000.0
Екатеринбург,Москва,15,13,496850.0,33123.333333333336,30000.0,40000.0
Екатеринбург,Новосибирск,2,2,33000.0,16500.0,15000.0,18000.0
Екатеринбург,Омск,1,1,16450.0,16450.0,16450.0,16450.0
Екатеринбург,Ростов-на-Дону,1,1,46750.0,46750.0,46750.0,46750.0
Екатеринбург,Тольятти,15,11,226000.0,15066.666666666666,12000.0,20000.0
Екатеринбург,Тюмень,1,1,12000.0,12000.0,12000.0,12000.0
Екатеринбург от автовоза,Екатеринбург Бориса Ельцина 6Башня Исеть,1,1,8000.0,8000.0,8000.0,8000.0
Елец,Краснодар,1,1,30000.0,30000.0,30000.0,30000.0
Иркутск,Волгоград,1,1,100000.0,100000.0,100000.0,100000.0
Иркутск,Екатеринбург,2,2,107100.0,53550.0,52100.0,55000.0
Иркутск,Краснодар,1,1,90000.0,90000.0,90000.0,90000.0
Иркутск,Красноярск,1,1,20000.0,20000.0,20000.0,20000.0
Иркутск,Москва,8,4,661000.0,82625.0,65000.0,90000.0
Иркутск,Новосибирск,1,1,30000.0,30000.0,30000.0,30000.0
Иркутск,Омск,1,1,45000.0,45000.0,45000.0,45000.0
Иркутск,Тольятти,4,2,247000.0,61750.0,55000.0,67000.0
Иркутск,Тюмень,1,1,50000.0,50000.0,50000.0,50000.0
Иркутск,Улан-Удэ,1,1,9000.0,9000.0,9000.0,9000.0
Иркутск,Уфа,2,2,118000.0,59000.0,53000.0,65000.0
Иркутск,Хабаровск,1,1,13000.0,13000.0,13000.0,13000.0
Иркутск,Челябинск,1,1,61000.0,61000.0,61000.0,61000.0
Казань,Екатеринбург,1,1,36600.0,36600.0,36600.0,36600.0
Казань,Казань,5,2,24700.0,4940.0,4000.0,6500.0
Казань,Москва,8,5,193600.0,24200.0,20000.0,34100.0
Казань,Нижневартовск,1,1,65000.0,65000.0,65000.0,65000.0
Казань,Новосибирск,2,2,80000.0,40000.0,40000.0,40000.0
Казань,Ногинск,1,1,15000.0,15000.0,15000.0,15000.0
Казань,Омск,1,1,30000.0,30000.0,30000.0,30000.0
